case:concept:name,concept:name,time:timestamp,timesincemidnight,month,weekday,hour,timesincelastevent,timesincecasestart,event_nr,open_cases,label,magnitude
00942d12-5338-4013-9b0c-b3f26de01f62,check availability,2024-03-11 10:55:21,655,3,0,10,0.0,0.0,1,235,regular,0.0
00942d12-5338-4013-9b0c-b3f26de01f62,confirm order,2024-03-11 10:55:26,655,3,0,10,0.08,0.08,2,239,regular,0.0
00942d12-5338-4013-9b0c-b3f26de01f62,send invoice,2024-03-11 10:55:30,655,3,0,10,0.07,0.15,3,241,regular,0.0
00aa5711-3cee-4b41-afc5-3b0f9bc26f72,check availability,2023-12-07 18:12:06,1092,12,3,18,0.0,0.0,1,72,regular,0.0
00aa5711-3cee-4b41-afc5-3b0f9bc26f72,confirm order,2023-12-07 18:12:12,1092,12,3,18,0.1,0.1,2,78,regular,0.0
00aa5711-3cee-4b41-afc5-3b0f9bc26f72,send invoice,2023-12-07 18:12:18,1092,12,3,18,0.1,0.2,3,82,regular,0.0
00c5d9a5-887e-47fb-ad40-c754953dca9c,check availability,2023-12-08 02:26:09,146,12,4,2,0.0,0.0,1,254,deviant,1570.08
00c5d9a5-887e-47fb-ad40-c754953dca9c,confirm order,2023-12-08 02:26:13,146,12,4,2,0.07,0.07,2,257,deviant,1570.08
00db957c-2a13-4768-904f-70fd375e07f8,check availability,2023-12-07 18:12:41,1092,12,3,18,0.0,0.0,1,106,regular,0.0
00db957c-2a13-4768-904f-70fd375e07f8,reject order,2023-12-07 18:12:44,1092,12,3,18,0.05,0.05,2,105,regular,0.0
014598f0-de4f-459c-a0de-81d6f680e8b5,check availability,2023-12-07 18:12:31,1092,12,3,18,0.0,0.0,1,97,regular,0.0
014598f0-de4f-459c-a0de-81d6f680e8b5,reject order,2023-12-07 18:12:33,1092,12,3,18,0.03,0.03,2,97,regular,0.0
0148c141-4c10-43b8-9ebb-17f86ff9923e,check availability,2024-03-11 10:57:38,657,3,0,10,0.0,0.0,1,308,deviant,125.02
